"id","month","day","year","description","amount","category","account","debit_or_credit","original_description","note","date"
"00000145717d41accf290944001000f300940076","2","1","2014","Online Creditonline Utah 196 Nw State Road","411.1","Income","REGULAR SHARE","credit",,"","2014.02.01"
"00000145717d41accf290945001000f300940076","2","1","2014","Online Creditonline Utah 196 Nw State Road","800.0","Income","REGULAR SHARE","credit",,"","2014.02.01"
"00000145717d41accf290946001000f300940076","1","31","2014","Zerochaos Payropayroll Deduction","1001.39","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.01.31"
"00000145717d41accf290947001000f300940076","1","31","2014","Total Bond Mkt Index Inv - Dividend","0.66","Dividend & Cap Gains","Vanguard Account","credit",,"","2014.01.31"
"00000145717d41accf290948001000f300940076","1","30","2014","Home Depot","704.6","Home Improvement","CREDIT CARD","debit",,"","2014.01.30"
"00000145717d41accf290949001000f300940076","1","27","2014","Remedez Hair Spa","120.92","Hair","Discover :","debit",,"","2014.01.27"
"00000145717d41accf29094a001000f300940076","1","27","2014","Chaseautomatic","222.57","Credit Card Payment","SHARE DRAFT NO MIN","debit",,"","2014.01.27"
"00000145717d41accf29094b001000f300940076","1","25","2014","Macy's","15.88","Clothing","Discover :","debit",,"","2014.01.25"
"00000145717d41accf29094c001000f300940076","1","24","2014","Red Robin","27.14","Restaurants","Discover :","debit",,"","2014.01.24"
"00000145717d41accf29094d001000f300940076","1","24","2014","Transfer from SHARE DRAFT NO MIN","222.57","Credit Card Payment","CREDIT CARD","credit",,"","2014.01.24"
"00000145717d41accf29094e001000f300940076","1","24","2014","Zerochaos Payropayroll Deduction","1001.39","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.01.24"
"00000145717d41accf29094f001000f300940076","1","24","2014","Payrollpayroll Crown H","1194.37","Paycheck","REGULAR SHARE","credit",,"","2014.01.24"
"00000145717d41accf290950001000f300940076","1","23","2014","Dal Soglio","38.99","Gas & Fuel","Discover :","debit",,"","2014.01.23"
"00000145717d41accf290951001000f300940076","1","23","2014","Del Taco","4.42","Fast Food","CREDIT CARD","debit",,"","2014.01.23"
"00000145717d41accf290952001000f300940076","1","23","2014","Check# 1139check# 1139 #1139","10.0","Service Fee","Free Checking","debit",,"","2014.01.23"
"00000145717d41accf290953001000f300940076","1","22","2014","Check 1126","344.83","Marc Tithing","SHARE DRAFT NO MIN","debit",,"","2014.01.22"
"00000145717d41accf290954001000f300940076","1","22","2014","Fedloanservicingach Transactionautomatic","562.92","Student Loan","SHARE DRAFT NO MIN","debit",,"","2014.01.22"
"00000145717d41accf290955001000f300940076","1","22","2014","City","74.29","Utilities","CREDIT CARD","debit",,"","2014.01.22"
"00000145717d41accf290956001000f300940076","1","22","2014","City","97.93","Utilities","CREDIT CARD","debit",,"","2014.01.22"
"00000145717d41accf290957001000f300940076","1","21","2014","WinCo Foods","40.32","Groceries","Free Checking","debit",,"","2014.01.21"
"00000145717d41accf290958001000f300940076","1","21","2014","Chaseautomatic","66.52","Credit Card Payment","SHARE DRAFT NO MIN","debit",,"","2014.01.21"
"00000145717d41accf290959001000f300940076","1","19","2014","Chevron","45.93","Gas & Fuel","CREDIT CARD","debit",,"","2014.01.19"
"00000145717d41accf29095a001000f300940076","1","17","2014","Transfer from SHARE DRAFT NO MIN","66.52","Credit Card Payment","CREDIT CARD","credit",,"","2014.01.17"
"00000145717d41accf29095b001000f300940076","1","17","2014","Transfer to Free Checking","1000.0","Transfer","REGULAR SHARE","debit",,"","2014.01.17"
"00000145717d41accf29095c001000f300940076","1","17","2014","Transfer from REGULAR SHARE","1000.0","Transfer","Free Checking","credit",,"","2014.01.17"
"00000145717d41accf29095d001000f300940076","1","17","2014","Zerochaos Payropayroll Deduction","1001.39","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.01.17"
"00000145717d41accf29095e001000f300940076","1","17","2014","Payment","550.0","Loan Payment","Direct Unsub Stafford Loan","credit",,"","2014.01.17"
"00000145717d41accf29095f001000f300940076","1","16","2014","Amazon","4.18","Home Improvement","CREDIT CARD","debit",,"","2014.01.16"
"00000145717d41accf290960001000f300940076","1","15","2014","Cafe Rio Orem","6.74","Restaurants","Discover :","debit",,"","2014.01.15"
"00000145717d41accf290961001000f300940076","1","15","2014","Cp Cp","18.0","Service Fee","Free Checking","debit",,"","2014.01.15"
