"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/10/2014","Transfer to Free Checking","FTT   XXX454-009FTT   XXX454-009 #11014  loans, 01-10-2014 @ 18:33 Trace #","3000.00","debit","Transfer","REGULAR SHARE","",""
"1/10/2014","Transfer from REGULAR SHARE","FTF   XXX454-001FTF   XXX454-001 #11014  loans, 01-10-2014 @ 18:33 Trace #","3000.00","credit","Transfer","Free Checking","",""
"1/10/2014","Transfer from REGULAR SHARE","FTF   XXX454-001FTF   XXX454-001 #11014  loans, 01-10-2014 @ 18:34 Trace #","1000.00","credit","Transfer","Free Checking","",""
"1/10/2014","Transfer from REGULAR SHARE","FTF   XXX454-001FTF   XXX454-001 #11014  FT Transfer Dep, 01-10-2014 @ 18:33 Trace #","500.00","credit","Transfer","Free Checking","",""
"1/10/2014","Transfer from SHARE DRAFT NO MIN","Payment Thank You - Web","186.47","credit","Credit Card Payment","CREDIT CARD","",""
"1/10/2014","Transfer from Free Checking","INTERNET PAYMENT - THANK YOU","406.19","credit","Credit Card Payment","Discover :","",""
"1/10/2014","Payrollpayroll Crown H","PAYROLLPAYROLL #21319  CROWN H.C.         PAYROLL, 01-10-2014 @   : 0 Trace #091000014088001","1575.82","credit","Paycheck","REGULAR SHARE","",""
"1/10/2014","Zerochaos Payropayroll Deduction","ZEROCHAOS1                 PAYROPAYROLL DEDUCTION","448.50","credit","Paycheck","SHARE DRAFT NO MIN","",""
"1/09/2014","Questar Gas","QuestarGasQuestarGas #21263  QuestarGas         QuestarGas, 01-09-2014 @   : 0 Trace #021000024839832","84.07","debit","Utilities","Free Checking","",""
"1/08/2014","Pizza Factory","PIZZA FACTORY","8.47","debit","Restaurants","CREDIT CARD","",""
"1/08/2014","Auto Air Vacuum","AUTO AIR & VACUUM SERVICE","1.25","debit","Service & Parts","CREDIT CARD","",""
"1/08/2014","Auto Air Vacuum","AUTO AIR & VACUUM SERVICE","1.25","debit","Service & Parts","CREDIT CARD","",""
"1/08/2014","Auto Air Vacuum","AUTO AIR & VACUUM SERVICE","1.25","debit","Service & Parts","CREDIT CARD","",""
"1/07/2014","Cafe Zupas Provo","CAFE ZUPAS PROVO PROVO UT","5.38","debit","Restaurants","Discover :","",""
